"","time","state","county","NAME","SAEMHI_PT","SAEPOVRTALL_PT"
"248",2003-01-01,"01","093","Marion County",27227,16.8
"249",2003-01-01,"01","095","Marshall County",33756,15.2
"250",2003-01-01,"01","097","Mobile County",32850,18.5
"251",2003-01-01,"01","099","Monroe County",29027,17.8
"252",2003-01-01,"01","101","Montgomery County",35592,18
"253",2003-01-01,"01","103","Morgan County",39965,13.2
"254",2003-01-01,"01","105","Perry County",20630,28.7
"255",2003-01-01,"01","107","Pickens County",26895,19.5
"256",2003-01-01,"01","109","Pike County",26615,20.4
"257",2003-01-01,"01","111","Randolph County",29435,15.7
"258",2003-01-01,"01","113","Russell County",28547,18.6
"259",2003-01-01,"01","115","St. Clair County",38713,13.1
"260",2003-01-01,"01","117","Shelby County",60894,6.8
"261",2003-01-01,"01","119","Sumter County",20627,26.6
"262",2003-01-01,"01","121","Talladega County",33191,16.8
"263",2003-01-01,"01","123","Tallapoosa County",30626,16.1
"264",2003-01-01,"01","125","Tuscaloosa County",35268,16.5
"265",2003-01-01,"01","127","Walker County",31298,14.8
"266",2003-01-01,"01","129","Washington County",31198,16.9
"267",2003-01-01,"01","131","Wilcox County",19633,28.1
"268",2003-01-01,"01","133","Winston County",27430,16.9
"269",2004-01-01,"01","001","Autauga County",45379,11.6
"270",2004-01-01,"01","003","Baldwin County",42227,10
"271",2004-01-01,"01","005","Barbour County",26495,23.9
"272",2004-01-01,"01","007","Bibb County",34055,17.1
"273",2004-01-01,"01","009","Blount County",38643,12.4
"274",2004-01-01,"01","011","Bullock County",20485,30.3
"275",2004-01-01,"01","013","Butler County",27244,21
"276",2004-01-01,"01","015","Calhoun County",34813,16.9
"277",2004-01-01,"01","017","Chambers County",30573,17.2
"278",2004-01-01,"01","019","Cherokee County",33564,16.1
"279",2004-01-01,"01","021","Chilton County",35507,14.8
"280",2004-01-01,"01","023","Choctaw County",27690,20.2
"281",2004-01-01,"01","025","Clarke County",28776,20.9
"282",2004-01-01,"01","027","Clay County",31194,13.9
"283",2004-01-01,"01","029","Cleburne County",34128,14.7
"284",2004-01-01,"01","031","Coffee County",37066,14.2
"285",2004-01-01,"01","033","Colbert County",34575,14.7
"286",2004-01-01,"01","035","Conecuh County",24334,23.1
"287",2004-01-01,"01","037","Coosa County",30173,14
"288",2004-01-01,"01","039","Covington County",29237,18.7
"289",2004-01-01,"01","041","Crenshaw County",28909,18.6
"290",2004-01-01,"01","043","Cullman County",35150,13.8
"291",2004-01-01,"01","045","Dale County",34065,16.7
"292",2004-01-01,"01","047","Dallas County",24949,27.4
"293",2004-01-01,"01","049","DeKalb County",32286,15.8
"294",2004-01-01,"01","051","Elmore County",43645,12.5
"295",2004-01-01,"01","053","Escambia County",29330,20.1
"296",2004-01-01,"01","055","Etowah County",32727,16.1
"297",2004-01-01,"01","057","Fayette County",30595,17.4
"298",2004-01-01,"01","059","Franklin County",29234,17.8
"299",2004-01-01,"01","061","Geneva County",28787,18.1
"300",2004-01-01,"01","063","Greene County",22439,26.5
"301",2004-01-01,"01","065","Hale County",26841,22
"302",2004-01-01,"01","067","Henry County",32441,17.1
"303",2004-01-01,"01","069","Houston County",36616,15.8
"304",2004-01-01,"01","071","Jackson County",33733,15.3
"305",2004-01-01,"01","073","Jefferson County",38520,15.4
"306",2004-01-01,"01","075","Lamar County",29337,16.8
"307",2004-01-01,"01","077","Lauderdale County",35166,16.2
"308",2004-01-01,"01","079","Lawrence County",34998,14.7
"309",2004-01-01,"01","081","Lee County",34660,16
"310",2004-01-01,"01","083","Limestone County",41830,12.7
"311",2004-01-01,"01","085","Lowndes County",24967,25.5
"312",2004-01-01,"01","087","Macon County",23378,28.3
"313",2004-01-01,"01","089","Madison County",49441,11.7
"314",2004-01-01,"01","091","Marengo County",29138,21.3
"315",2004-01-01,"01","093","Marion County",28781,17.9
